date,last,bid,ask
1/13/2021,3809.84,3773.33,3856.43
1/12/2021,3801.19,3768.29,3834.26
1/11/2021,3799.61,3766.55,3836.94
1/8/2021,3824.68,3794.93,3861.14
1/7/2021,3803.79,3766.71,3841.83
1/6/2021,3748.14,3716.08,3805.2
1/5/2021,3726.86,3692.79,3766.99
1/4/2021,3700.65,3662.91,3738.64
12/31/2020,3756.07,3714.61,3787.14
12/30/2020,3732.04,3688.89,3771.45
12/29/2020,3727.04,3693.36,3764.07
12/28/2020,3735.36,3696.58,3784.35
12/24/2020,3703.06,3655.99,3764.24
12/23/2020,3690.01,3659.4,3728
12/22/2020,3687.26,3651.71,3712.31
12/21/2020,3694.92,3658.89,3731.88
12/18/2020,3709.41,3695.74,3783.22
12/17/2020,3722.48,3687.54,3763.84
12/16/2020,3701.17,3674.31,3728.83
12/15/2020,3694.62,3660.63,3728.26
12/14/2020,3647.49,3621.14,3685.66
12/11/2020,3663.46,3622.3,3713.11
12/10/2020,3668.1,3633.4,3703.92
12/9/2020,3672.82,3638.24,3708.8
12/8/2020,3702.25,3665.35,3747.31
12/7/2020,3691.96,3657.34,3715.11
12/4/2020,3699.12,3654.65,3726.09
12/3/2020,3666.72,3632.57,3706.59
12/2/2020,3669.01,3646.3,3706.18
12/1/2020,3662.45,3616.27,3705.1
11/30/2020,3621.63,3593.12,3668.51
11/27/2020,3638.35,3593.43,4023.27
11/25/2020,3629.65,3593.17,3684.15
11/24/2020,3635.41,3600.42,3686.37
11/23/2020,3577.59,3543.01,3625.12
11/20/2020,3557.54,3523.97,3607.65
11/19/2020,3581.87,3531.28,3616.77
11/18/2020,3567.79,3532.49,3617.19
11/17/2020,3609.53,3566.66,3658.49
11/16/2020,3626.91,3592.5,3676.86
11/13/2020,3585.15,3530.53,3643.42
11/12/2020,3537.01,3507.24,3586.72
11/11/2020,3572.66,3529.31,3638.2
11/10/2020,3545.53,3497.94,3604.85
11/9/2020,3550.5,3509.05,3622.91
11/6/2020,3509.44,3473.44,3573.52
11/5/2020,3510.45,3477.29,3561.79
11/4/2020,3443.44,3408.57,3508.61
